name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,offensive_index,defensive_index,speed_percentile,physical_special_bias,type_defense_normal,type_defense_fire,type_defense_water,type_defense_grass,type_defense_electric,type_defense_ice,type_defense_fighting,type_defense_poison,type_defense_ground,type_defense_flying,type_defense_psychic,type_defense_bug,type_defense_rock,type_defense_ghost,type_defense_dragon,type_defense_dark,type_defense_steel,type_defense_fairy
abomasnow,grass,ice,90,92,75,92,85,60,184,205.0,0.2599009900990099,0.0,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.25,1.0
absol,dark,,65,130,60,75,60,75,205,152.5,0.4298679867986799,0.2682926829268293,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.5
accelgor,bug,,80,70,40,100,60,145,170,140.0,0.9884488448844884,-0.1764705882352941,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,0.5,0.5
aerodactyl,rock,flying,80,105,65,60,75,130,165,180.0,0.9628712871287128,0.2727272727272727,1.0,2.0,1.0,2.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,4.0,0.5,1.0,1.0,1.0,0.25,1.0
aggron,steel,rock,70,110,180,60,60,50,170,275.0,0.1765676567656765,0.2941176470588235,1.0,1.0,0.5,1.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,2.0
alakazam,psychic,,55,50,45,135,95,120,185,167.5,0.9191419141914192,-0.4594594594594595,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0
alcremie,fairy,,65,60,75,110,121,64,170,228.5,0.2846534653465346,-0.2941176470588235,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0
alomomola,water,,165,75,80,40,45,65,115,207.5,0.3085808580858086,0.3043478260869565,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0
altaria,dragon,flying,75,70,90,70,105,80,140,232.5,0.4867986798679868,0.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0.25,1.0
ambipom,normal,,75,100,66,60,66,115,160,169.5,0.8943894389438944,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
